batsman,Avg,SR
MDKJ Perera,7.0,100.0
AM Rahane,33.57142857142857,117.99922750096562
R Dravid,28.22077922077922,113.11816762103071
STR Binny,20.675675675675677,121.81528662420382
BJ Hodge,30.41304347826087,122.18340611353712
AL Menaria,17.954545454545453,105.61497326203208
KK Cooper,12.777777777777779,153.33333333333334
R Shukla,9.5,76.0
DA Warner,39.068627450980394,139.53081232492997
UBT Chand,15.0,96.15384615384616
DPMD Jayawardene,28.21875,120.88353413654619
MC Juneja,17.857142857142858,94.6969696969697
AD Russell,28.7,166.3768115942029
J Botha,18.545454545454547,109.38337801608579
IK Pathan,21.67924528301887,118.69834710743801
NV Ojha,21.123287671232877,113.38235294117646
JEC Franklin,29.727272727272727,107.21311475409836
SR Tendulkar,32.83098591549296,118.68635437881873
RG Sharma,30.992592592592594,126.7494698576189
KD Karthik,23.721311475409838,121.69890664423886
KA Pollard,27.55294117647059,143.32925336597307
Harbhajan Singh,14.90566037735849,132.3283082077052
AT Rayudu,27.397727272727273,122.57244534824606
NLTC Perera,17.541666666666668,130.74534161490683
N Saini,12.727272727272727,93.95973154362416
Mandeep Singh,19.49122807017544,116.2133891213389
SE Marsh,38.04615384615385,131.19363395225463
DJ Hussey,26.857142857142858,119.7452229299363
Azhar Mahmood,20.42105263157895,123.96166134185303
DA Miller,34.48888888888889,138.94359892569383
MJ Guptill,20.333333333333332,122.0
WP Saha,24.650793650793652,126.36289666395443
GJ Maxwell,24.5,160.55045871559633
AR Patel,20.896551724137932,121.44288577154309
LMP Simmons,39.96296296296296,125.17401392111368
PA Patel,21.64485981308411,113.97637795275591
N Rana,28.866666666666667,124.06876790830945
HH Pandya,19.238095238095237,136.48648648648648
KV Sharma,15.095238095238095,111.61971830985915
AM Nayar,17.025641025641026,112.54237288135593
SV Samson,25.927272727272726,120.5409974640744
SR Watson,30.729411764705883,134.3621399176955
SPD Smith,33.78,127.76096822995461
JP Faulkner,18.714285714285715,128.74692874692875
CA Pujara,21.666666666666668,97.74436090225564
V Sehwag,27.683673469387756,151.64896590273895
DR Smith,29.37037037037037,133.12814773363178
BB McCullum,27.36,127.85046728971963
SK Raina,34.03007518796993,135.79357935793578
RA Jadeja,22.69736842105263,118.80165289256199
Ishan Kishan,22.785714285714285,125.09803921568627
DJ Bravo,23.22222222222222,122.58064516129032
Q de Kock,29.0,128.54609929078015
KK Nair,24.53191489361702,122.92110874200426
JP Duminy,41.458333333333336,123.98753894080997
RR Pant,26.80952380952381,144.7300771208226
CH Morris,33.30769230769231,157.45454545454547
P Negi,17.6,123.94366197183099
MA Agarwal,17.23404255319149,116.54676258992805
SS Iyer,26.866666666666667,124.38271604938272
KM Jadhav,23.783783783783782,129.22173274596182
Yuvraj Singh,25.79,126.2977473065622
AD Mathews,23.29032258064516,120.93802345058627
SS Tiwary,29.558139534883722,117.03499079189687
NM Coulter-Nile,7.428571428571429,91.2280701754386
RT Ponting,11.375,69.46564885496183
MEK Hussey,38.0,121.37592137592138
M Vijay,27.593406593406595,119.91404011461319
S Badrinath,29.958333333333332,117.00569568755085
MS Dhoni,33.838095238095235,134.58333333333334
R Ashwin,11.55,90.94488188976378
B Laughlin,4.0,40.0
AS Rajpoot,6.0,42.857142857142854
AP Tare,14.125,116.49484536082474
SW Billings,22.6,131.3953488372093
CJ Anderson,27.42105263157895,126.1501210653753
F du Plessis,33.17948717948718,124.42307692307692
RA Tripathi,32.583333333333336,143.2234432234432
BA Stokes,28.727272727272727,137.3913043478261
R Bhatia,11.793103448275861,111.76470588235294
DL Chahar,14.0,200.0
A Zampa,2.5,50.0
AB Dinda,2.888888888888889,47.27272727272727
Imran Tahir,4.5,62.06896551724138
CH Gayle,40.111111111111114,148.92739273927393
V Kohli,35.01587301587302,126.41833810888252
AB de Villiers,40.705882352941174,145.31709365812685
SN Khan,22.0,162.96296296296296
DJ Hooda,15.956521739130435,127.87456445993031
Ankit Sharma,12.428571428571429,117.56756756756756
DS Kulkarni,10.0,87.37864077669903
AC Gilchrist,26.92105263157895,135.13870541611624
PC Valthaty,22.681818181818183,116.04651162790698
SD Chitnis,13.285714285714286,98.93617021276596
RJ Harris,9.666666666666666,95.08196721311475
P Kumar,9.941176470588236,99.70501474926253
SJ Srivastava,5.0,83.33333333333333
JD Ryder,20.551724137931036,126.00422832980972
MK Pandey,28.714285714285715,116.61392405063292
RV Uthappa,28.755725190839694,128.83036935704516
CJ Ferguson,16.333333333333332,80.32786885245902
AA Jhunjhunwala,15.5,98.63636363636364
MR Marsh,18.75,109.7560975609756
JR Hopes,24.529411764705884,129.90654205607476
LA Pomersbach,27.363636363636363,123.36065573770492
ST Jayasuriya,26.20689655172414,139.963167587477
SM Pollock,18.375,125.64102564102564
PR Shah,11.375,97.84946236559139
CRD Fernando,4.0,100.0
VS Yeligati,2.0,66.66666666666667
OA Shah,38.84615384615385,129.82005141388174
M Kaif,16.1875,99.61538461538461
DL Vettori,17.285714285714285,110.0
R Vinay Kumar,11.692307692307692,104.82758620689656
Z Khan,7.733333333333333,76.3157894736842
S Aravind,19.666666666666668,103.50877192982456
M Muralitharan,3.3333333333333335,58.8235294117647
G Gambhir,31.389312977099237,121.83703703703704
YK Pathan,29.393939393939394,141.74378957622991
Shakib Al Hasan,19.88,125.18891687657431
SA Yadav,20.75862068965517,125.41666666666667
PP Chawla,12.238095238095237,107.75681341719077
UT Yadav,11.75,95.91836734693878
S Dhawan,32.78703703703704,119.18545944126556
MC Henriques,27.571428571428573,124.35567010309278
Mohammad Nabi,2.0,50.0
Rashid Khan,5.5,110.0
HM Amla,44.23076923076923,140.2439024390244
M Vohra,25.18421052631579,127.94117647058823
EJG Morgan,22.473684210526315,118.11894882434302
MM Sharma,8.615384615384615,98.24561403508773
KC Cariappa,5.0,71.42857142857143
I Sharma,6.428571428571429,71.42857142857143
Sandeep Sharma,25.0,73.52941176470588
JH Kallis,27.179775280898877,106.51695288419198
CA Lynn,38.2,154.03225806451613
YV Takawale,23.875,106.70391061452514
JA Morkel,24.175,136.5819209039548
KP Pietersen,34.48275862068966,132.80212483399734
AJ Finch,27.603448275862068,128.69774919614147
SC Ganguly,24.87037037037037,104.59501557632399
Mohammad Hafeez,8.0,73.5632183908046
LR Shukla,13.96551724137931,110.95890410958904
AB Agarkar,22.125,114.19354838709677
M Kartik,16.0,100.0
ML Hayden,39.142857142857146,136.48816936488168
LRPL Taylor,24.634146341463413,120.95808383233533
Y Nagar,19.0,107.95454545454545
ER Dwivedi,12.0,160.0
BCJ Cutting,24.8,182.35294117647058
Bipul Sharma,31.166666666666668,147.24409448818898
AP Majumdar,21.75,111.53846153846153
B Kumar,8.777777777777779,91.86046511627907
R Sharma,6.0,79.51807228915662
A Nehra,4.875,61.904761904761905
IR Jaggi,15.2,76.0
CL White,27.485714285714284,122.70408163265306
DT Christian,17.956521739130434,115.68627450980392
B Chipli,17.5,106.4638783269962
A Ashish Reddy,18.666666666666668,135.92233009708738
A Mishra,12.107142857142858,88.97637795275591
DW Steyn,7.545454545454546,93.78531073446328
V Pratap Singh,0.0,0.0
RE Levi,13.833333333333334,110.66666666666667
RJ Peterson,10.666666666666666,103.2258064516129
KL Rahul,27.846153846153847,123.54948805460751
DJG Sammy,19.666666666666668,119.43319838056681
BR Dunk,13.333333333333334,111.11111111111111
CM Gautam,18.77777777777778,113.42281879194631
M Morkel,11.090909090909092,122.0
WD Parnell,7.0,77.77777777777777
MN Samuels,13.416666666666666,92.0
SL Malinga,7.333333333333333,81.48148148148148
PP Ojha,1.6,32.0
MM Patel,7.8,86.66666666666667
Yashpal Singh,11.75,68.1159420289855
AN Ghosh,3.5,70.0
BAW Mendis,1.5,37.5
Y Venugopal Rao,23.333333333333332,114.75409836065573
S Sriram,15.5,83.78378378378379
TR Birt,15.0,122.95081967213115
VR Aaron,15.0,78.94736842105263
PA Reddy,16.4,96.47058823529412
KC Sangakkara,24.347826086956523,118.06043569922699
GH Vihari,15.38888888888889,84.96932515337423
R Rampaul,10.0,96.15384615384616
A Mithun,6.8,117.24137931034483
JD Unadkat,5.0,38.46153846153846
MS Bisla,21.45945945945946,111.36044880785414
MK Tiwary,28.24137931034483,114.14634146341463
RN ten Doeschate,19.176470588235293,132.52032520325204
KMDN Kulasekara,inf,250.0
P Sahu,inf,146.15384615384616
KJ Abbott,13.0,144.44444444444446
S Sohal,20.444444444444443,122.25913621262458
TM Dilshan,27.75609756097561,112.4505928853755
JJ van der Wath,9.0,100.0
R Ninan,3.0,50.0
L Ronchi,11.333333333333334,91.89189189189189
DJ Thornely,13.0,75.0
S Chanderpaul,8.333333333333334,73.52941176470588
MV Boucher,25.8,123.2484076433121
B Akhil,10.857142857142858,126.66666666666667
DB Das,25.333333333333332,116.03053435114504
SP Narine,15.941176470588236,139.69072164948454
HH Gibbs,27.6875,108.9790897908979
RP Singh,3.466666666666667,60.46511627906977
PD Collingwood,50.75,129.29936305732485
AB McDonald,24.6,121.78217821782178
MJ Lumb,27.8,142.56410256410257
FY Fazal,20.333333333333332,103.97727272727273
AC Voges,30.166666666666668,126.57342657342657
P Dogra,10.583333333333334,85.23489932885906
SK Warne,10.368421052631579,86.78414096916299
S Narwal,9.25,119.35483870967742
SW Tait,7.666666666666667,79.3103448275862
SK Trivedi,5.25,63.63636363636363
VVS Laxman,17.25,100.0
RV Gomez,7.142857142857143,90.9090909090909
S Sreesanth,11.333333333333334,64.15094339622641
GC Smith,24.366666666666667,107.18475073313783
M Manhas,21.416666666666668,105.54414784394251
MD Mishra,15.666666666666666,108.29493087557604
RJ Quiney,14.714285714285714,99.03846153846153
C Nanda,0.0,0.0
DJ Harris,37.0,108.82352941176471
AUK Pathan,7.8,139.28571428571428
J Syed Mohammad,14.5,103.57142857142857
Gurkeerat Singh,14.869565217391305,118.75
KH Pandya,40.0,155.84415584415584
JC Buttler,26.35,141.28686327077747
S Nadeem,1.8571428571428572,31.70731707317073
Vishnu Vinod,6.333333333333333,65.51724137931035
TM Head,34.0,134.21052631578948
Sachin Baby,15.11111111111111,127.10280373831776
PJ Cummins,12.833333333333334,130.5084745762712
Mohammed Shami,6.571428571428571,92.0
VH Zol,14.5,103.57142857142857
J Theron,5.0,71.42857142857143
GJ Bailey,22.75862068965517,118.06797853309482
Sunny Singh,10.75,126.47058823529412
L Balaji,5.142857142857143,67.9245283018868
MS Wade,7.333333333333333,62.857142857142854
CA Ingram,10.5,84.0
DH Yagnik,18.666666666666668,124.44444444444444
R Dhawan,21.857142857142858,110.07194244604317
C Munro,30.0,100.0
MJ McClenaghan,9.0,123.52941176470588
S Anirudha,17.0,117.24137931034483
SA Asnodkar,22.263157894736842,122.25433526011561
Sohail Tanvir,11.666666666666666,112.90322580645162
M Rawat,11.0,77.46478873239437
CR Brathwaite,11.875,163.79310344827587
KS Williamson,34.25,128.84012539184954
BB Sran,inf,100.0
UT Khawaja,25.4,123.30097087378641
Niraj Patel,24.2,99.18032786885246
T Henderson,11.0,68.75
AD Mascarenhas,7.9,90.80459770114942
Kamran Khan,3.0,50.0
R McLaren,19.875,90.85714285714286
PJ Sangwan,4.0,60.0
DJ Jacobs,13.142857142857142,92.92929292929293
TD Paine,5.0,38.46153846153846
Harpreet Singh,10.0,71.42857142857143
PV Tambe,18.0,47.36842105263158
JJ Bumrah,8.333333333333334,86.20689655172414
AS Raut,17.636363636363637,108.98876404494382
MP Stoinis,23.285714285714285,118.97810218978103
JDP Oram,13.25,92.98245614035088
K Goel,15.571428571428571,91.9831223628692
SM Katich,24.0,127.65957446808511
RS Bopara,27.94736842105263,114.19354838709677
MS Gony,11.0,126.92307692307692
T Thushara,6.0,60.0
WA Mota,11.2,71.7948717948718
B Lee,12.4,119.23076923076923
RR Powar,22.333333333333332,101.51515151515152
TL Suman,22.533333333333335,114.1891891891892
R Sathish,16.8125,113.02521008403362
CJ McKay,8.0,50.0
MG Johnson,10.785714285714286,94.375
Shivam Sharma,5.0,125.0
S Rana,17.4,106.09756097560975
MA Starc,16.0,96.96969696969697
HV Patel,5.875,114.63414634146342
YS Chahal,7.5,50.0
P Awana,1.6666666666666667,29.41176470588235
DB Ravi Teja,18.65,115.12345679012346
RR Raje,20.0,105.26315789473684
RR Rossouw,8.833333333333334,94.64285714285714
Harmeet Singh,9.0,128.57142857142858
TG Southee,13.5,142.10526315789474
JDS Neesham,14.0,87.5
A Singh,0.5,15.384615384615385
SS Shaikh,inf,85.71428571428571
AG Paunikar,9.6,81.35593220338983
DE Bollinger,21.0,95.45454545454545
A Symonds,37.42307692307692,128.02631578947367
KB Arun Karthik,10.2,100.0
Iqbal Abdulla,87.0,111.53846153846153
BB Samantray,25.0,108.69565217391305
BJ Rohrer,27.571428571428573,134.02777777777777
A Flintoff,31.0,119.23076923076923
R Bishnoi,6.333333333333333,95.0
A Kumble,17.5,74.46808510638297
Joginder Sharma,9.0,105.88235294117646
BE Hendricks,1.0,25.0
RS Gavaskar,2.0,22.22222222222222
SE Bond,1.0,33.333333333333336
S Vidyut,18.125,125.0
CK Kapugedera,5.333333333333333,66.66666666666667
Kamran Akmal,31.0,156.9620253164557
K Rabada,18.333333333333332,83.33333333333333
SB Jakati,14.0,90.3225806451613
RE van der Merwe,13.25,105.29801324503312
JE Taylor,inf,100.0
JO Holder,7.6,111.76470588235294
Anureet Singh,8.25,75.0
Karanveer Singh,12.0,66.66666666666667
W Jaffer,18.571428571428573,102.36220472440945
Misbah-ul-Haq,13.0,132.95454545454547
DT Patil,13.0,92.85714285714286
RR Sarwan,24.333333333333332,94.8051948051948
I Malhotra,inf,175.0
Salman Butt,27.428571428571427,118.51851851851852
SP Fleming,21.333333333333332,114.97005988023952
Younis Khan,3.0,37.5
D Salunkhe,33.0,132.0
Pankaj Singh,3.5,50.0
A Chopra,10.6,70.66666666666667
T Taibu,10.333333333333334,106.89655172413794
SB Styris,18.714285714285715,96.32352941176471
SB Bangar,8.166666666666666,80.32786885245902
WPUJC Vaas,10.714285714285714,97.40259740259741
SN Thakur,2.3333333333333335,58.333333333333336
AF Milne,2.3333333333333335,46.666666666666664
S Badree,2.6,46.42857142857143
NS Naik,11.5,71.875
JM Kemp,13.0,100.0
S Tyagi,inf,75.0
SP Goswami,16.066666666666666,90.94339622641509
M Ntini,11.0,57.89473684210526
V Shankar,50.5,131.16883116883116
CJ Jordan,3.0,60.0
Shoaib Malik,12.75,104.08163265306122
VY Mahesh,7.5,53.57142857142857
Mohammad Asif,1.5,37.5
GD McGrath,4.0,66.66666666666667
NJ Maddinson,6.666666666666667,83.33333333333333
D Wiese,25.2,135.48387096774192
AN Ahmed,36.0,138.46153846153845
KW Richardson,12.0,85.71428571428571
Parvez Rasool,8.5,80.95238095238095
Umar Gul,13.0,195.0
J Suchith,48.0,150.0
LA Carseldine,26.666666666666668,117.6470588235294
SM Harwood,inf,80.0
A Chandila,4.0,50.0
LJ Wright,25.5,161.9047619047619
DAJ Bracewell,inf,133.33333333333334
AC Thomas,10.0,95.23809523809524
MN van Wyk,54.333333333333336,125.38461538461539
SB Joshi,3.0,37.5
P Parameswaran,inf,50.0
Shahid Afridi,10.125,152.83018867924528
AS Yadav,7.0,111.36363636363636
AA Chavan,12.0,100.0
F Behardien,7.0,93.33333333333333
J Arunkumar,7.666666666666667,92.0
B Sumanth,35.0,92.10526315789474
KP Appanna,2.0,50.0
Y Gnaneswara Rao,19.0,105.55555555555556
M Ashwin,0.0,0.0
A Choudhary,12.5,113.63636363636364
AA Bilakhia,13.8,80.23255813953489
Mashrafe Mortaza,inf,100.0
AC Blizzard,17.142857142857142,126.3157894736842
AD Nath,5.0,62.5
S Kaushik,0.0,0.0
A Uniyal,4.0,50.0
Swapnil Singh,4.0,52.17391304347826
NL McCullum,8.666666666666666,108.33333333333333
VS Malik,7.0,100.0
MF Maharoof,17.7,136.15384615384616
AP Dole,17.0,141.66666666666666
Anirudh Singh,15.75,90.0
BMAJ Mendis,7.666666666666667,76.66666666666667
MA Khote,12.0,114.28571428571429
GR Napier,15.0,88.23529411764706
Shoaib Ahmed,0.5,12.5
LPC Silva,20.0,153.84615384615384
H Das,2.0,33.333333333333336
DNT Zoysa,11.0,137.5
AG Murtaza,10.0,66.66666666666667
IC Pandey,0.0,0.0
SMSM Senanayake,10.0,58.8235294117647
TM Srivastava,8.0,66.66666666666667
GB Hogg,11.0,91.66666666666667
VRV Singh,4.0,133.33333333333334
SB Wagh,1.0,40.0
MJ Clarke,16.333333333333332,101.03092783505154
SP Jackson,19.0,115.15151515151516
C de Grandhomme,15.75,129.89690721649484
CR Woakes,15.333333333333334,92.0
M Klinger,18.0,92.3076923076923
PSP Handscomb,6.0,46.15384615384615
AB Barath,21.0,97.67441860465117
ND Doshi,0.0,0.0
D du Preez,10.0,71.42857142857143
Washington Sundar,inf,100.0
S Kaul,inf,69.23076923076923
JJ Roy,29.5,140.47619047619048
K Upadhyay,inf,133.33333333333334
A Mukund,9.5,79.16666666666667
BJ Haddin,18.0,150.0
RG More,inf,100.0
DJ Muthuswami,1.0,25.0
Basil Thampi,28.0,103.70370370370371
Ankit Soni,3.5,77.77777777777777
R Tewatia,17.5,159.0909090909091
X Thalaivan Sargunam,10.0,55.55555555555556
BA Bhatt,inf,85.71428571428571
T Kohli,3.6666666666666665,50.0
DS Lehmann,9.0,94.73684210526316
AJ Tye,53.0,182.75862068965517
CK Langeveldt,4.0,72.72727272727273
RD Chahar,inf,150.0
LH Ferguson,inf,100.0
PM Sarvesh Kumar,inf,50.0
DP Vijaykumar,inf,100.0
RR Bhatkal,0.0,0.0
Sunny Gupta,0.0,0.0
Jaskaran Singh,4.0,61.53846153846154
NJ Rimmington,inf,100.0
S Ladda,0.0,0.0
DP Nannes,4.0,28.571428571428573
S Gopal,7.0,48.275862068965516
Abdur Razzak,,0.0
DR Martyn,9.5,73.07692307692308
D Kalyankrishna,3.0,37.5
TS Mills,2.6666666666666665,61.53846153846154
FH Edwards,4.0,66.66666666666667
Kuldeep Yadav,10.0,83.33333333333333
TA Boult,inf,62.5
L Ablish,,0.0
AA Noffke,9.0,81.81818181818181
UA Birla,7.0,46.666666666666664
J Yadav,inf,60.0
RS Sodhi,inf,200.0
KAJ Roach,10.0,100.0
U Kaul,,0.0
M de Lange,1.0,33.333333333333336
C Madan,14.0,77.77777777777777
S Randiv,2.0,40.0
AR Bawne,inf,100.0
SA Abbott,15.0,115.38461538461539
DM Bravo,inf,120.0
Mohammad Ashraful,2.0,20.0
Shoaib Akhtar,2.0,25.0
