M Markande,11,84.61
E Lewis,30.72,144.27
A Dananjaya,7.3,82.02
JA Behrandorff,34,119.29
L Ngidi,8,80
Monu Kumar,3,120
KM Asif,0,0
DR Shorey,29.76,123.64
MA Wood,12.16,89.02
JC Archer,16.5,135.8
MK Lomror,24.23,120.46
DJM Short,35.42,137.76
H Klaasen,33.52,144.12
P Chopra,32.56,113.37
K Gowtham,15.57,168.99
MM Ali,23.69,134.88
K Khejroliya,0,190
AA Joshi,32.5,146.89
PU Deshpande,67.2,145.45
NA Saini,0,66.66
JPR Scantlebury-Searles,10.71,107.14
Shivam Mavi,4.33,86.66
TK Curran,17.65,126.08
Shubman Gill,33.83,146.04
M Prasidh Krishna,0,20
LE Plunkett,15.38,132.98
PP Shaw,27.22,153.12
RK Singh,17.56,129.48
Abhishek Sharma,63,190.9
Avesh Khan,0,0
CJ Dala,7.66,102.22
S Lamichhne,0,75
Mujeeb Ur Rahman,8.5,92.72
RK Bhui,28.47,118.65
KK Ahmed,0,66.66
AD Hales,29.06,142.29
